id,extra_attributes
1990,"{'dept': 'MFG', 'name': 'Gloria Schulist', 'shift': 'Morning', 'title': 'NML03112', 'supvid': '00031138', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Wong Tai Yih', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF04', 'shiftgroup': 'G26.C'}"
1989,"{'dept': 'MFG', 'name': 'Jalen Greenfelder', 'shift': 'Morning', 'title': 'DN01116N', 'supvid': '01391832', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Eng Ching Hooi', 'workcell': 'KEYSIGHT', 'costcenter': '711060', 'department': 'MF00', 'shiftgroup': 'G47.C'}"
1988,"{'dept': 'MFG', 'name': 'Retha Bins', 'shift': 'Morning', 'title': '01406085', 'supvid': '01391934', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'M0', 'supvname': 'Noor Hasmanida Binti Halim', 'workcell': 'KEYSIGHT', 'costcenter': '711060', 'department': 'MF00', 'shiftgroup': 'G47'}"
1987,"{'dept': 'MFG', 'name': 'Ella Wunsch', 'shift': 'Normal', 'title': '01392030', 'supvid': '00031138', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M4', 'supvname': 'Wong Tai Yih', 'workcell': 'KEYSIGHT', 'costcenter': '710235', 'department': 'MF06', 'shiftgroup': 'M40'}"
1986,"{'dept': 'MFG', 'name': 'Aliza Lockman', 'shift': 'Morning', 'title': '01162558', 'supvid': '00030414', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'M0', 'supvname': 'Zuriati Binti Ahmad Sofi', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G26'}"
1985,"{'dept': 'MFG', 'name': 'Hope Vandervort', 'shift': 'Morning', 'title': '00030414', 'supvid': '00031138', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M4', 'supvname': 'Wong Tai Yih', 'workcell': 'KEYSIGHT', 'costcenter': '710235', 'department': 'MF00', 'shiftgroup': 'G47'}"
1984,"{'dept': 'MFG', 'name': 'Gia Veum', 'shift': 'Normal', 'title': '00030122', 'supvid': '00032022', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'M1', 'supvname': 'Mohd Farhan Bin Abdullah', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G00'}"
1983,"{'dept': 'ME', 'name': 'Zachariah Hammes', 'shift': 'Group 2', 'title': '01262701', 'supvid': '00031680', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M2', 'supvname': 'Chau Kok Onn', 'workcell': 'KEYSIGHT', 'costcenter': '710230', 'department': 'ME00', 'shiftgroup': 'G61'}"
1982,"{'dept': 'IE', 'name': 'Karelle Quitzon', 'shift': 'Normal', 'title': '00135089', 'supvid': '00030375', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M2', 'supvname': 'Adrian Keith Thanaraj Samuel', 'workcell': 'KEYSIGHT', 'costcenter': '710225', 'department': 'IE00', 'shiftgroup': 'G00'}"
1981,"{'dept': 'QA', 'name': 'Javier Satterfield', 'shift': 'Group 3', 'title': '01591227', 'supvid': '01404584', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M2', 'supvname': 'Jonas Antonio Encarnacion Bautista', 'workcell': 'KEYSIGHT', 'costcenter': '710245', 'department': 'QA00', 'shiftgroup': 'G62'}"
1980,"{'dept': 'QA', 'name': 'Madeline Swift', 'shift': 'Night', 'title': '01462072', 'supvid': '00185180', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M2', 'supvname': 'Lisa Yu Siew Hong', 'workcell': 'KEYSIGHT', 'costcenter': '710245', 'department': 'QA00', 'shiftgroup': 'G27'}"
1979,"{'dept': 'QA', 'name': 'Raina Hintz', 'shift': 'Normal', 'title': '01438735', 'supvid': '01705139', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M2', 'supvname': 'Lim Cheng Wai', 'workcell': 'KEYSIGHT', 'costcenter': '710245', 'department': 'QA00', 'shiftgroup': 'G00'}"
1978,"{'dept': 'QA', 'name': 'Brady Rogahn', 'shift': 'Normal', 'title': '01391919', 'supvid': '01705139', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M2', 'supvname': 'Lim Cheng Wai', 'workcell': 'KEYSIGHT', 'costcenter': '710245', 'department': 'QA00', 'shiftgroup': 'G00'}"
1977,"{'dept': 'QA', 'name': 'Adeline Goodwin', 'shift': 'Morning', 'title': '01375132', 'supvid': '01404584', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M2', 'supvname': 'Jonas Antonio Encarnacion Bautista', 'workcell': 'KEYSIGHT', 'costcenter': '710245', 'department': 'QA00', 'shiftgroup': 'G47'}"
1976,"{'dept': 'QA', 'name': 'Alexis Orn', 'shift': 'Morning', 'title': '01318984', 'supvid': '01404584', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M2', 'supvname': 'Jonas Antonio Encarnacion Bautista', 'workcell': 'KEYSIGHT', 'costcenter': '710245', 'department': 'QA00', 'shiftgroup': 'G47'}"
1975,"{'dept': 'QA', 'name': 'Birdie Hodkiewicz', 'shift': 'Morning', 'title': '01301948', 'supvid': '00185180', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M2', 'supvname': 'Lisa Yu Siew Hong', 'workcell': 'KEYSIGHT', 'costcenter': '710245', 'department': 'QA00', 'shiftgroup': 'G26'}"
1974,"{'dept': 'QA', 'name': 'Sydney Smitham', 'shift': 'Morning', 'title': '00138661', 'supvid': '00185180', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M2', 'supvname': 'Lisa Yu Siew Hong', 'workcell': 'KEYSIGHT', 'costcenter': '710245', 'department': 'QA00', 'shiftgroup': 'G26'}"
1973,"{'dept': 'QA', 'name': 'Jayme Muller', 'shift': 'Group 2', 'title': '00028838', 'supvid': '01404584', 'daytype': 'Regular', 'job cat': 'IL', 'category': 'M2', 'supvname': 'Jonas Antonio Encarnacion Bautista', 'workcell': 'KEYSIGHT', 'costcenter': '710245', 'department': 'QA00', 'shiftgroup': 'G61'}"
1972,"{'dept': 'MFG', 'name': 'Verla Pfeffer', 'shift': 'Morning', 'title': '01063284', 'supvid': '00055088', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'M0', 'supvname': 'Chu Kheng Soon', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G47'}"
1971,"{'dept': 'MFG', 'name': 'Melvin Mueller', 'shift': 'Morning', 'title': 'WHL00192', 'supvid': '00138239', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Asmady Bin Che Ani', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1970,"{'dept': 'MFG', 'name': 'Augustus Goldner', 'shift': 'Morning', 'title': 'WHL00191', 'supvid': '00030414', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Zuriati Binti Ahmad Sofi', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1969,"{'dept': 'MFG', 'name': 'Raheem Bergnaum', 'shift': 'Morning', 'title': 'WHL00188', 'supvid': '00030414', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Zuriati Binti Ahmad Sofi', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1968,"{'dept': 'MFG', 'name': 'Domenico Weissnat', 'shift': 'Morning', 'title': 'WHL00150', 'supvid': '00030462', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Mohd Husaini Gooi Bin Abdullah', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1967,"{'dept': 'MFG', 'name': 'Jocelyn Hauck', 'shift': 'Night', 'title': 'WHL00030', 'supvid': '01326122', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Vinoshraj A/L Krishnan', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G27.C'}"
1966,"{'dept': 'MFG', 'name': 'Beau Zulauf', 'shift': 'Group 3', 'title': 'WHL00027', 'supvid': '00029246', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Nor Azizah Binti Jamalludin', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G62.C'}"
1965,"{'dept': 'MFG', 'name': 'Laisha Bogisich', 'shift': 'Morning', 'title': 'UML00039', 'supvid': '01392030', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Vigneshweri A/P Krishna', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1964,"{'dept': 'MFG', 'name': 'Lia Harris', 'shift': 'Morning', 'title': 'RPL01386', 'supvid': '00031138', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Wong Tai Yih', 'workcell': 'KEYSIGHT', 'costcenter': '722003', 'department': 'MF04', 'shiftgroup': 'G26.C'}"
1963,"{'dept': 'MFG', 'name': 'Sandra Dooley', 'shift': 'Morning', 'title': 'RPL01303', 'supvid': '01639126', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Syaffiq Ahmad Bin Mohd Hussain', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1962,"{'dept': 'MFG', 'name': 'Edyth Ebert', 'shift': 'Morning', 'title': 'RPL01262', 'supvid': '01639126', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Syaffiq Ahmad Bin Mohd Hussain', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1961,"{'dept': 'MFG', 'name': 'Adan Rohan', 'shift': 'Morning', 'title': 'RPL01255', 'supvid': '00030462', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Mohd Husaini Gooi Bin Abdullah', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1960,"{'dept': 'MFG', 'name': 'Sydney Bode', 'shift': 'Morning', 'title': 'RPL01252', 'supvid': '00030462', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Mohd Husaini Gooi Bin Abdullah', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1959,"{'dept': 'MFG', 'name': 'Buster Kshlerin', 'shift': 'Morning', 'title': 'RPL01250', 'supvid': '00030462', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Mohd Husaini Gooi Bin Abdullah', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
1958,"{'dept': 'MFG', 'name': 'Imogene Gleason', 'shift': 'Group 3', 'title': 'RPL01183', 'supvid': '00028871', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Thamayanthi A/P Subramaniam', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G62.C'}"
1957,"{'dept': 'MFG', 'name': 'Stanley Breitenberg', 'shift': 'Morning', 'title': 'RPL01182', 'supvid': '00031231', 'daytype': 'Regular', 'job cat': 'DL', 'category': 'XA', 'supvname': 'Mohd Fairus Bin Yahaya', 'workcell': 'KEYSIGHT', 'costcenter': '712008', 'department': 'MF00', 'shiftgroup': 'G26.C'}"
